tipo_inmueble,finalidad,estado_inmueble,ubicacion_principal,ubicacion_asociada,area,habitaciones,baños,precio,estrato,antigüedad,administración,comodidades,descripcion,contacto,codigo,vendedor,link_venta,link_image,error
Lote,venta,Usado,"Duitama, Boyaca",Centro,400.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$290.000.000,2,más de 30 años,,", Cerca a sector comercial, , Con Vivienda, , Esquinero, , Lote Vacio, , Servicios Públicos, , Área Urbana, Descripción, Lote de 400 M2 en Duitama, Boyacá.  Barrio La Perla. Zona en gran expansión. A 10 minutos del nuevo terminal de transporte. Cuenta con servicios de agua y luz.","Lote de 400 M2 en Duitama, Boyacá.  Barrio La Perla. Zona en gran expansión. A 10 minutos del nuevo terminal de transporte. Cuenta con servicios de agua y luz.",,191932885,REMAX ALIADOS,https://www.fincaraiz.com.co/lote-en-venta/191932885,,
Casa,venta,Usado,"Camilo torres, Duitama, Boyaca",Camilo torres,200.00  m2 m²,4,4,$450.000.000,4,9 a 15 años,,", Terraza, , Trans. Público cercano, , Zona Comercial, , Zona Residencial, Descripción, Se vende casa en Duitama, Boyacá, ubicada en un sector cercano a la parroquia San Cayetano. La propiedad cuenta con 200 metros cuadrados construidos y ofrece: 4 cuartos, 4 baños con división en vidrio templado y acero inoxidable, terraza con techo corredizo, garaje, sala comedor, área de estudio y televisión, y área húmeda. Además, cuenta con apertura de puerta de ingreso electrónico y video portero. La escalera del piso es en cedro., Código Fincaraíz:, 192295176, Consultar, Recorridos Inmobiliarios, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Se vende casa en Duitama, Boyacá, ubicada en un sector cercano a la parroquia San Cayetano. La propiedad cuenta con 200 metros cuadrados construidos y ofrece: 4 cuartos, 4 baños con división en vidrio templado y acero inoxidable, terraza con techo corredizo, garaje, sala comedor, área de estudio y televisión, y área húmeda. Además, cuenta con apertura de puerta de ingreso electrónico y video portero. La escalera del piso es en cedro.",,192295176,Recorridos Inmobiliarios,https://www.fincaraiz.com.co/casa-en-venta/192295176,,
Casa,venta,Usado,"Cajon, Duitama, Boyaca","Cajon, San fernando",222.00  m2 m²,3,2,$550.000.000,4,9 a 15 años,,", Balcón, , Canchas Deportivas, , Chimenea, , Salón Comunal, , Trans. Público cercano, , Vista panorámica, , Zona Residencial, Descripción, Venta Casa conjunto  Campestre a minutos de Tibasosa  y a 7 minutos de Duitama/ubicada en la recta San Rafael Vía Duitama Tibasosa Km 5 conjunto campestre. Apertura satelital, consta de 3 cuartos, 2  baños hall de televisión ,sala comedor, comedor auxiliar, licorera, chimenea, zonas verdes, garaje cubierto para 2  carros ,balcón exterior, zona BBQ, tanque reserva subterráneo para 7.000ltrs,,a orilla de carretera principal, ubicada a 5 minutos de Tibasosa ,7 minutos de Duitama ,10 minutos de Sogamoso ,45 minutos de Tunja .el conjunto posee zonas verdes comunales, cancha de baloncesto, microfútbol, tenis, rodeada de naturaleza y especies nativas., Código Fincaraíz:, 192301520, Consultar, Recorridos Inmobiliarios, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Venta Casa conjunto  Campestre a minutos de Tibasosa  y a 7 minutos de Duitama/ubicada en la recta San Rafael Vía Duitama Tibasosa Km 5 conjunto campestre. Apertura satelital, consta de 3 cuartos, 2  baños hall de televisión ,sala comedor, comedor auxiliar, licorera, chimenea, zonas verdes, garaje cubierto para 2  carros ,balcón exterior, zona BBQ, tanque reserva subterráneo para 7.000ltrs,,a orilla de carretera principal, ubicada a 5 minutos de Tibasosa ,7 minutos de Duitama ,10 minutos de Sogamoso ,45 minutos de Tunja .el conjunto posee zonas verdes comunales, cancha de baloncesto, microfútbol, tenis, rodeada de naturaleza y especies nativas.",,192301520,Recorridos Inmobiliarios,https://www.fincaraiz.com.co/casa-en-venta/192301520,,
Apartamento,venta,Usado,"Duitama, Boyaca","Santander, Sirata, Libertador",84.62  m2 m²,3,2,$320.000.000,4,9 a 15 años,3 Habs.,", Ascensor, , Balcón, , Baño Auxiliar, , Calentador, , Circuito cerrado de TV, , Citófono, , Loft, , Parqueadero Visitantes, , Parques cercanos, , Piso en Baldosa /  Mármol, , Portería / Recepción, , Salón Comunal","Con ubicación privilegiada en el Conjunto Residencial Balcones de Alcalá en el barrio Manzanares en la ciudad de Duitama Boyacá. Cerca de los colegios de la Presentación, San Diego y Salesiano; a 6 cuadras del centro de Duitama y a 4 cuadras del Centro Comerial Innovo Plaza. Ofrecemos en VENTA lindo, espacioso e iluminado apartamento en sexto piso exterior perfectamente distribuido, con área de 84.62m2 de área privada, más 21m2 de un altillo con depósito. Al ingresar al apartamento se encuentran la sala y el comedor amplios e independientes, balcón con ventanas de piso a techo con linda vista e iluminación. La cocina es abierta, espaciosa con muebles, muy buen espacio de almacenamiento y zona de lavandería. En el área privada, son tres habitaciones, la principal con baño; dos habitaciones auxiliares, un baño de habitaciones y estudio. El apartamento cuenta con un altillo de 21m2, un área de depósito y un parqueadero. El conjunto está conformado por dos torres con 20 apartamentos, salón social, zonas verdes y jardín, vigilancia permanente y CCTV.  EXCELENTE OPORTUNIDAD DE VIVIR CERCA DE TODO EN LA EXCLUSIVIDAD DEL BARRIO MANZANARES.",,192166941,UBIQUA AGENCIA INMOBILIARIA,https://www.fincaraiz.com.co/apartamento-en-venta/192166941,,
Apartamento,venta,Usado,"Duitama, Boyaca","La alameda, San juan bosco, San luis",66.00  m2 m²,3,2,$235.000.000,3,menor a 1 año,3 Habs.,", Ascensor, , Balcón, , Calentador, , Circuito cerrado de TV, , Citófono, , Cocina Integral, , Parques cercanos, , Piso en Baldosa /  Mármol, , Portería / Recepción, , Salón Comunal, , Supermercados / C.Comerciales, , Trans. Público cercano","Excelente oportunidad, para estrenar en CONJUNTO MIRADOR DEL VALLE. Proyecto NO VIS, de 3 Torres de 7 pisos. Torre 1 Totalmente construida, Torre 2 en construcción. ZONAS COMUNES EN CONSTRUCCIÓN",,191514629,KALOS INMOBILIARIA SAS,https://www.fincaraiz.com.co/apartamento-en-venta/191514629,,
Apartamento,venta,Usado,"La esperanza, Boyaca","Sauzalito, Villa del prado, La esperanza",75.00  m2 m²,3,2,$275.000.000,3,menor a 1 año,3 Habs.,", Barra estilo americano, , Baño Auxiliar, , Citófono, , Cocina tipo Americano, , Colegios / Universidades, , Comedor auxiliar, , Patio, , Salón Comunal, , Supermercados / C.Comerciales, , Terraza, , Trans. Público cercano, , Vista panorámica","Moderno apartamento para estrenar que te ofrece espacios funcionales con un diseño optimizado, acabados llamativos que realzan su elegancia y una excelente iluminación natural. Ubicado estratégicamente cerca de avenidas principales, disfrutarás de una conectividad inmejorable y acceso a todo lo que necesitas. Todo esto a un precio atractivo que lo convierte en una oportunidad única.",?3️⃣1️⃣3️⃣8️⃣2️⃣2️⃣9️⃣9️⃣5️⃣6️⃣,192218043,BELLAVISTA INMOBILIARIA,https://www.fincaraiz.com.co/apartamento-en-venta/192218043,,
Casa,venta,Usado,"Duitama, Boyaca",Surba y bonza,65.00  m2 m²,¡Pregúntale!,1,$700.000.000,2,1 a 8 años,,", Canchas Deportivas, , Chimenea, , Cocina Integral, , Trans. Público cercano, , Vista panorámica, , Zona Campestre, , Área Rural, , Área Urbana, Descripción, Atos Inmobiliaria ofrece en venta una hermosa cabaña con estilo vintage, ubicada en la vereda Trinidad de la ciudad de Duitama. La propiedad cuenta con un amplio lote de 5700m2 y una cabaña completamente amoblada de 65m2, equipada con cocina integral nueva, baño con agua caliente y una encantadora chimenea a gas. Disfrute de la tranquilidad y la belleza natural de la zona, en un ambiente acogedor y único. ¡No pierda la oportunidad de adquirir esta hermosa propiedad!, Código Fincaraíz:, 191273969, Consultar, ATOS Inmobiliaria SAS, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Atos Inmobiliaria ofrece en venta una hermosa cabaña con estilo vintage, ubicada en la vereda Trinidad de la ciudad de Duitama. La propiedad cuenta con un amplio lote de 5700m2 y una cabaña completamente amoblada de 65m2, equipada con cocina integral nueva, baño con agua caliente y una encantadora chimenea a gas. Disfrute de la tranquilidad y la belleza natural de la zona, en un ambiente acogedor y único. ¡No pierda la oportunidad de adquirir esta hermosa propiedad!",,191273969,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-campestre-en-venta/191273969,,
Apartamento,venta,Usado,"Solano, Duitama, Boyaca","Solano, Centro",85.00  m2 m²,3,2,$320.000.000,3,1 a 8 años,3 Habs.,", Ascensor, , Balcón, , Baño Auxiliar, , Calentador, , Citófono, , Cocina Integral, , Garaje(s), , Instalación de gas, , Parques cercanos, , Sobre vía principal, , Supermercados / C.Comerciales, , Trans. Público cercano","Este increíble apartamento cuenta con amplios espacios, una excelente iluminación natural y una ubicación privilegiada, a pocos minutos del centro comercial y con fácil acceso a todo lo que necesitas. Sus acabados de alta calidad brindan elegancia y confort, todo a un precio excepcional. No dejes pasar esta oportunidad de vivir con comodidad o hacer una gran inversión.",?3️⃣1️⃣3️⃣8️⃣2️⃣2️⃣9️⃣9️⃣5️⃣6️⃣,192171439,BELLAVISTA INMOBILIARIA,https://www.fincaraiz.com.co/apartamento-en-venta/192171439,,
Casa,venta,Usado,"Villa rousse, Duitama, Boyaca",Villa rousse,139.00  m2 m²,3,3,$439.000.000,3,9 a 15 años,,", Balcón, , Baño Auxiliar, , Calentador, , Cocina Integral, , Colegios / Universidades, , Depósito / Bodega, , Instalación de gas, , Parqueadero Visitantes, , Parques cercanos, , Patio, , Supermercados / C.Comerciales, , Trans. Público cercano","Espectacular casa esquinera de 3 niveles, cuenta con acabados de calidad, espacios funcionales y muy conservada. Cerca al terminal de transportes y avenidas principales. Disfruta de su terraza como patio de ropas, perfecta para disfrutar del aire libre. Además, cuenta con 2 garajes con capacidad para 3 vehículos, portón eléctrico y tanque subterráneo para mayor comodidad.",?3138229956,192171545,BELLAVISTA INMOBILIARIA,https://www.fincaraiz.com.co/casa-en-venta/192171545,,
Casa,venta,Usado,"Duitama, Boyaca","San lorenzo de abajo, San lorenzo de arriba",537.00  m2 m²,5,4,$2.250.000.000,5,16 a 30 años,5 Habs.,", Balcón, , Baño de Servicio, , Cancha de Baloncesto, , Cancha de Tennis, , Citófono, , Closet, , Panorámica 360º, , Parqueadero Subterraneo, , Parqueadero Visitantes, , Piso en Madera, , Tanques de Agua, , Terraza","Vendo espectacular casa en entre Duitama y Paipa en el Conjunto Residencial Campestre Altos de Surba y Bonza, considerado el mejor condominio de la región, a 5 minutos de Duitama y a 5 de Paipa, esta espectacular casa esta ubicada en un lote de 698 metros cuadrados, tiene un área construida de 537 metros cuadrados, dividido en tres pisos, todas sus áreas son amplias , iluminadas y confortables, es realmente el lugar que todos soñamos para vivir, en el semisótano tenemos garaje cubierto para 5 vehículos, un star para descansar y compartir con nuestros seres queridos, un hermoso salón de juegos, un baño , un deposito y una cocineta. En el primer piso, una sala-comedor amplia, una cocina integral amplia, con 3 mesones, una lavadora de platos eléctrica, 2 hornos eléctricos para preparar los mejores platos, un cuarto de ropas independiente, con espacio para dos lavadoras, calentador eléctrico, un amplio cuarto de huéspedes con su baño, un baño social, un estudio, una espectacular terraza con conexiones para agua y gas para colocar un BBQ, que conecta con la cocina y el comedor, en el segundo piso hay en total 4 habitaciones; la habitación principal con baño y walkin closet, 2 habitaciones con closets que comparten un baño, otra habitación con closet, también hay un baño  social, una sala de entretenimiento super amplia, la casa tiene un tanque de reserva de agua de 10 metros cúbicos. En la parte exterior de la casa contamos con un área amplia de jardines, con pinos , cerca viva, el condominio cuenta con 2 canchas de tenis de polvo de ladrillo, cancha de básquetbol, una futura cancha de microfútbol, salón comunal, una hermosa capilla, parques infantiles, el conjunto cuenta con pozo propio de agua, el costo de la administración es muy económico, ten el placer de vivir en el sitió mas exclusivo de Duitama, te esperamos ya.",,191497423,Century 21 Premium,https://www.fincaraiz.com.co/casa-en-venta/191497423,,
