tipo_inmueble,finalidad,estado_inmueble,ubicacion_principal,ubicacion_asociada,area,habitaciones,baños,precio,estrato,antigüedad,administración,comodidades,descripcion,contacto,codigo,vendedor,link_venta,link_image,error
Casa,venta,Usado,"El salitre, Paipa, Boyaca",El salitre,160.00  m2 m²,4,3,$750.000.000,3,¡Pregúntale!,,,"Se vende hermosa casa en Paipa, ubicada en una zona   turística, situada a 10 minutos del centro y a 800 metros del aeropuerto. Área de 160 M2. construidos en un lote de 783 M2. Consta de 4 alcobas, con mirador en la principal,  3 baños, 1 estudio, 1 cocina amplia, arboles frutales, gran capacidad de almacenamiento de agua con cuatro tanques. Tiene alcoba de servicio exterior, un cuarto grande independiente como bodega, plantas de jardín y dos perreras",,191674798,RICARDO COUTO,https://www.fincaraiz.com.co/casa-en-venta/191674798,,
Casa,venta,Usado,"Fatima, Paipa, Boyaca",Fatima,224.00  m2 m²,4,4,$750.000.000,3,¡Pregúntale!,,", Balcón, , Baño Independiente, , Citófono, , Closet, , Cocina Integral, , Depósito / Bodega, , Parqueadero Visitantes, , Parques cercanos, , Piso en Baldosa /  Mármol, , Sobre vía principal, , Trans. Público cercano, , Vista panorámica","Barrio Fátima, Paipa-Boyacá",,192119354,INMOBILIARIA LEGUIZAMO,https://www.fincaraiz.com.co/casa-campestre-en-venta/192119354,,
Lote,venta,Usado,"Fatima, Paipa, Boyaca",Fatima,432.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$160.000.000,3,¡Pregúntale!,,", Lote Vacio, , Vista panorámica, , Área Urbana, Descripción, Barrio Fátima, Paipa-Boyacá","Barrio Fátima, Paipa-Boyacá",,192128098,INMOBILIARIA LEGUIZAMO,https://www.fincaraiz.com.co/lote-en-venta/192128098,,
Casa,venta,Usado,"Gaitan, Paipa, Boyaca","Las quintas, Gaitan, Primero de mayo",275.00  m2 m²,3,4,$1.850.000.000,5,1 a 8 años,,,"Hermosa casa quinta en Paipa Boyacá, sala con vista al lago, comedor con balcón, cocina abierta, baño auxiliar, alcoba de huéspedes con baño privado, cuarto de servicio con baño privado patio interno y externo, chimenea, alcoba principal con balcón baño privado con tina y un balcón privado",,192325812,Carrizosa Hermanos Ltda,https://www.fincaraiz.com.co/casa-en-venta/192325812,,
Casa,venta,Usado,"Paipa, Boyaca",Centro,248.00  m2 m²,4,3,$900.000.000,3,más de 30 años,,", Acceso Pavimentado, , Asador, , Balcón, , Baño Auxiliar, , Calentador, , Cerca de Zona Urbana, , Garaje(s), , Hall de Alcobas, , Instalación de gas, , Jardín, , Parques cercanos, , Patio","código wasi 8977FR638 Excelente oportunidad de negocio.  Hermosa y acogedora casa tipo colonial arquitectura Inglesa cuenta con cuatro dependencias Rentables:Local, Lote, apartamento. Cada uno de sus espacios es independiente y rentable cada una de sus dependencias se puede arrendar por separado. ideal para; hostal, negocio como restaurante o para construir un complejo médico o apartamentos o tipo de construcción mixta, el uso del suelo comercial,centro de servicios o empresarial. altura permitida 8 pisos. agende una visita para tener el gusto de atenderle.",,192249602,Casa 360,https://www.fincaraiz.com.co/casa-en-venta/192249602,,
Casa,venta,Usado,"Paipa, Boyaca","Villa jardin, Villa panorama",218.00  m2 m²,4,3,$593.000.000,3,1 a 8 años,4 Habs.,", Acceso Pavimentado, , Asador, , Balcón, , Barra estilo americano, , Baño Auxiliar, , Baño Independiente, , Estudio, , Hall de Alcobas, , Instalación de gas, , Jardín, , Kiosko, , Parqueadero Visitantes","casa en conjunto cerrado en la mejor zona de paipa, Vigilancia las 24 horas, 218 mts, 3 habitaciones, 3 baños, amplias zonas de sala comedor y cocina, el conjunto cuenta con amplias zonas comunes, de BBQ,  cancha de futbol,  parqueadero de visitantes, la casa cuenta con parqueadero privado cubierto y Patio de ropas cubierto con marquesina corrediza. tiene bodega en el altillo.",,192106100,Remax Planet,https://www.fincaraiz.com.co/casa-en-venta/192106100,,
Lote,venta,Usado,"Paipa, Boyaca",Rincon de vargas,1.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$260.000.000,1,16 a 30 años,,", Cerca de Zona Urbana, , Zona Industrial, , Zona Residencial, Descripción, ? Ubicación privilegiada con excelente acceso y gran potencial para inversión.",? Ubicación privilegiada con excelente acceso y gran potencial para inversión.,,191626236,Remax Planet,https://www.fincaraiz.com.co/lote-en-venta/191626236,,
Lote,venta,Usado,"Paipa, Boyaca","Gaitan, Centro",989.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$260.000.000,1,1 a 8 años,,", Zona Campestre, , Área Rural, , Área Urbana, Descripción, Lote en conjunto cerrado exclusivo terreno plano cuadrados y esquinero, cuenta con servicios públicos de energía, agua y alcantarillado, vía interna del conjunto con recebo, el conjunto tiene doble acceso: por vía doble calzada  y por vereda charite ubicado a dos minutos del centro de paipa, vista al lago sochagota, cuenta con sendero peatonal, hermosos paisajes, parques infantiles y zonas verdes. Zona turística y de alta valorización, Código Fincaraíz:, 10912148, Consultar, C & C Inversiones Inmobiliarias, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Lote en conjunto cerrado exclusivo terreno plano cuadrados y esquinero, cuenta con servicios públicos de energía, agua y alcantarillado, vía interna del conjunto con recebo, el conjunto tiene doble acceso: por vía doble calzada  y por vereda charite ubicado a dos minutos del centro de paipa, vista al lago sochagota, cuenta con sendero peatonal, hermosos paisajes, parques infantiles y zonas verdes. Zona turística y de alta valorización",,10912148,C & C Inversiones Inmobiliarias,https://www.fincaraiz.com.co/lote-en-venta/10912148,,
Lote,venta,Usado,"Las delicias, Paipa, Boyaca",Las delicias,453.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$140.000.000,2,¡Pregúntale!,,", Lote Vacio, , Vista panorámica, , Área Urbana, Descripción, ? Barrio las Delicias, Paipa-Boyacá","? Barrio las Delicias, Paipa-Boyacá",,192119402,INMOBILIARIA LEGUIZAMO,https://www.fincaraiz.com.co/lote-en-venta/192119402,,
Casa,venta,Usado,"Paipa, Boyaca","Centro, Los rosales",180.00  m2 m²,3,2,$330.000.000,2,más de 30 años,,", Vista panorámica, , Área Rural, Descripción, ADMINISTRADORA AAVAL VENDE EXCELENTE FINCA UBICADA EN EL MUNICIPIO DE PAIPA, BOYACÁ, CON UN TERRENO DE 19.511 M2 Y UNA CONSTRUCCIÓN DE 180 M2. LA CASA PRINCIPAL CUENTA CON TRES HABITACIONES, DOS BAÑOS, SALA-COMEDOR, COCINA INTERNA Y UN PATIO DE ROPAS CUBIERTO. ADICIONALMENTE, DISPONE DE UNA SEGUNDA COCINA INDEPENDIENTE CON ESTUFA DE LEÑA, IDEAL PARA DISFRUTAR DE UN AMBIENTE CAMPESTRE. LA PROPIEDAD TAMBIÉN INCLUYE UNA CONSTRUCCIÓN INDEPENDIENTE DE 45 M², ANTERIORMENTE UTILIZADA COMO COCHERAS PARA CERDOS, PERO CON VIGA DE AMARRE, LO QUE PERMITE SU ADECUACIÓN PARA UN APARTAMENTO O CABAÑA. LA FINCA OFRECE AMPLIAS ZONAS VERDES, ESPECTACULARES VISTAS Y ACCESO POR CARRETERA HASTA LA ENTRADA., Código Fincaraíz:, 192164803, Consultar, Administradora Aaval Ltda, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","ADMINISTRADORA AAVAL VENDE EXCELENTE FINCA UBICADA EN EL MUNICIPIO DE PAIPA, BOYACÁ, CON UN TERRENO DE 19.511 M2 Y UNA CONSTRUCCIÓN DE 180 M2. LA CASA PRINCIPAL CUENTA CON TRES HABITACIONES, DOS BAÑOS, SALA-COMEDOR, COCINA INTERNA Y UN PATIO DE ROPAS CUBIERTO. ADICIONALMENTE, DISPONE DE UNA SEGUNDA COCINA INDEPENDIENTE CON ESTUFA DE LEÑA, IDEAL PARA DISFRUTAR DE UN AMBIENTE CAMPESTRE. LA PROPIEDAD TAMBIÉN INCLUYE UNA CONSTRUCCIÓN INDEPENDIENTE DE 45 M², ANTERIORMENTE UTILIZADA COMO COCHERAS PARA CERDOS, PERO CON VIGA DE AMARRE, LO QUE PERMITE SU ADECUACIÓN PARA UN APARTAMENTO O CABAÑA. LA FINCA OFRECE AMPLIAS ZONAS VERDES, ESPECTACULARES VISTAS Y ACCESO POR CARRETERA HASTA LA ENTRADA.",,192164803,Administradora Aaval Ltda,https://www.fincaraiz.com.co/finca-en-venta/192164803,,
Casa,venta,Usado,"Paipa, Boyaca",Caños,180.00  m2 m²,3,4,$450.000.000,2,16 a 30 años,,,"Atos Inmobiliaria tiene el placer de presentar una encantadora cabaña en Paipa, ubicada en la vereda Caños, con un área de lote de 1184 m². Esta casa construida con esmero abarca 180 m² en un solo piso, ofreciendo comodidades y detalles encantadores.",,191273349,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-campestre-en-venta/191273349,,
Casa,venta,Usado,"Mirabal, Paipa, Boyaca",Mirabal,"28,877.00  m2 m²",¡Pregúntale!,¡Pregúntale!,$4.000.000.000,2,¡Pregúntale!,,,"? Ubicación privilegiada en la Vereda Mirabal – Paipa, Boyacá, una de las zonas más exclusivas y con mayor proyección de desarrollo en el sector campestre.",Código Fincaraíz:,192144877,Remax Planet,https://www.fincaraiz.com.co/lote-en-venta/192144877,,
Casa,venta,Usado,"Mirabal, Paipa, Boyaca",Mirabal,161.00  m2 m²,3,2,$800.000.000,6,16 a 30 años,,", Baño Auxiliar, , Baño Independiente, , Cerca de Zona Urbana, , Closet, , Cocina Equipada, , Instalación de gas, , Jardín, , Vista panorámica, , Zona Campestre, , Zonas Verdes, Descripción, código wasi 897FR7645 oportunidad excelente finca / lote  y acogedora casa campestre, ubicada en la vereda mirabal de Paipa Boyacá. Colombia, .","código wasi 897FR7645 oportunidad excelente finca / lote  y acogedora casa campestre, ubicada en la vereda mirabal de Paipa Boyacá. Colombia, .",,192249629,Casa 360,https://www.fincaraiz.com.co/caba%C3%B1a-en-venta/192249629,,
Lote,venta,Usado,"Paipa, Boyaca","La pradera, Llano grande, Llano grande","1,003.00  m2 m²",¡Pregúntale!,¡Pregúntale!,$160.000.000,2,más de 30 años,,", Instalación de gas, , Parqueadero Visitantes, , Servicios Públicos, , Vista panorámica, , Zona Campestre, , Zonas Verdes, Descripción, Codigo: 12110. Se ubica dentro de una parcelacion estructurada con acceso de portón a solo 10 minutos del centro e ingreso con via pavimentada. Esta ubicacion le permite disfrutar de la cercania a supermercados, restaurantes, tiendas locales y sitios turisticos mientras se está armonia y tranquilidad. El lote consta de 1.003 metros ideal para acomodar una vivienda que se puede rentar en plataformas digitales como Airbnb; ademas cuenta con punto de agua, luz y gas., Código Fincaraíz:, 191335365, Consultar, CIMA GROUP SAS, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Codigo: 12110. Se ubica dentro de una parcelacion estructurada con acceso de portón a solo 10 minutos del centro e ingreso con via pavimentada. Esta ubicacion le permite disfrutar de la cercania a supermercados, restaurantes, tiendas locales y sitios turisticos mientras se está armonia y tranquilidad. El lote consta de 1.003 metros ideal para acomodar una vivienda que se puede rentar en plataformas digitales como Airbnb; ademas cuenta con punto de agua, luz y gas.",,191335365,CIMA GROUP SAS,https://www.fincaraiz.com.co/lote-en-venta/191335365,,
Casa,venta,Usado,"Centro, Paipa, Boyaca","Centro, Villa vianey, San felipe",72.00  m2 m²,3,2,$215.000.000,2,más de 30 años,,,"Descubre esta increíble oportunidad en Barrio San Felipe, una zona tranquila y de alta valorización en Paipa, a solo cuadras de la avenida principal que conecta con Bogotá. ??️",Código Fincaraíz:,192283267,Remax Planet,https://www.fincaraiz.com.co/casa-en-venta-en-centro-paipa/192283267,,
Lote,venta,Usado,"Paipa, Boyaca",El tunal,1.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$230.000.000,1,más de 30 años,,,? ¡Finca en zona turística de Paipa! Ideal para inversión ?,,192139375,Remax Planet,https://www.fincaraiz.com.co/lote-en-venta/192139375,,
Casa,venta,Usado,"Paipa, Boyaca",La esperanza,1.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$200.000.000,2,¡Pregúntale!,,,"? Ubicación privilegiada: Sobre la vía a Loma Tibia, en un entorno exclusivo y natural, rodeado de casas quintas y segundas residencias, con una impresionante vista al Lago Sochagota.",,192269717,Remax Planet,https://www.fincaraiz.com.co/lote-en-venta-en-paipa/192269717,,
Casa,venta,Usado,"Paipa, Boyaca",Centro,248.00  m2 m²,4,3,$800.000.000,3,más de 30 años,,", Acceso Pavimentado, , Asador, , Balcón, , Baño Auxiliar, , Calentador, , Cerca de Zona Urbana, , Garaje(s), , Hall de Alcobas, , Instalación de gas, , Jardín, , Parques cercanos, , Patio","CODIGO: 8977FR643 Excelente  oportunidad de negocio.  Hermosa y acogedora casa tipo colonial arquitectura Inglesa cuenta con cuatro dependencias Rentables:Local, Lote, apartamento. Cada uno de sus espacios es independiente y rentable cada una de sus dependencias se puede arrendar por separado. ideal para; hostal, negocio como restaurante o para construir un complejo médico o apartamentos o tipo de construcción mixta, el uso del suelo comercial,centro de servicios o empresarial. altura permitida 8 pisos. agende una visita para tener el gusto de atenderle.",,192251705,Casa 360,https://www.fincaraiz.com.co/casa-en-venta/192251705,,
Lote,venta,Usado,"Paipa, Boyaca","Gaitan, Centro","1,024.00  m2 m²",¡Pregúntale!,¡Pregúntale!,$260.000.000,1,1 a 8 años,,", Zona Campestre, , Área Rural, , Área Urbana, Descripción, Lote en conjunto cerrado exclusivo terreno plano cuadrados y esquinero, cuenta con servicios públicos de energía, agua y alcantarillado, vía interna del conjunto con recebo, el conjunto tiene doble acceso: por vía doble calzada  y por vereda charite ubicado a dos minutos del centro de paipa, vista al lago sochagota, cuenta con sendero peatonal, hermosos paisajes, parques infantiles y zonas verdes. Zona turística y de alta valorización, Código Fincaraíz:, 10912149, Consultar, C & C Inversiones Inmobiliarias, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Lote en conjunto cerrado exclusivo terreno plano cuadrados y esquinero, cuenta con servicios públicos de energía, agua y alcantarillado, vía interna del conjunto con recebo, el conjunto tiene doble acceso: por vía doble calzada  y por vereda charite ubicado a dos minutos del centro de paipa, vista al lago sochagota, cuenta con sendero peatonal, hermosos paisajes, parques infantiles y zonas verdes. Zona turística y de alta valorización",,10912149,C & C Inversiones Inmobiliarias,https://www.fincaraiz.com.co/lote-en-venta/10912149,,
Lote,venta,Usado,"Llano grande, Paipa, Boyaca","Llano grande, Centro, Los rosales","7,464.00  m2 m²",¡Pregúntale!,¡Pregúntale!,$2.600.000.000,3,1 a 8 años,,", Cómodas vias de acceso, , Lote Vacio, , Trans. Público cercano, , Zona Residencial, , Zonas Verdes, , Área Urbana, Descripción, Gran oportunidad, espectaculares lotes ubicados en Paipa sobre la avenida los libertadores, Barrio Fatima, cerca a la terminal de transporte. El globo de terreno se compone de tres lotes, servicios de Agua y luz. Se recibe permuta por Local o apto rentando en Bogota. Precio Negociable., Código Fincaraíz:, 7025693, Consultar, INMOBILIARIA ESPACIOS & DESARROLLOS URBANOS, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Gran oportunidad, espectaculares lotes ubicados en Paipa sobre la avenida los libertadores, Barrio Fatima, cerca a la terminal de transporte. El globo de terreno se compone de tres lotes, servicios de Agua y luz. Se recibe permuta por Local o apto rentando en Bogota. Precio Negociable.",,7025693,INMOBILIARIA ESPACIOS & DESARROLLOS URBANOS,https://www.fincaraiz.com.co/lote-en-venta/7025693,,
Casa,venta,Usado,"Los rosales, Paipa, Boyaca",Los rosales,178.00  m2 m²,4,4,$492.330.000,3,1 a 8 años,,", Acceso Pavimentado, , Asador, , Balcón, , Barra estilo americano, , Baño Auxiliar, , Baño Independiente, , En conjunto cerrado, , Estudio, , Hall de Alcobas, , Instalación de gas, , Parqueadero Visitantes, , Parques cercanos","? Vive en un entorno familiar y seguro, con un diseño moderno y amplios espacios para compartir y descansar. Ubicadas en un conjunto cerrado con portería y vigilancia, estas casas son la opción perfecta para quienes buscan tranquilidad y comodidad.",,191626187,Remax Planet,https://www.fincaraiz.com.co/casa-en-venta/191626187,,
Finca,venta,Usado,"Paipa, Boyaca","Gaitan, Libertadores",50.00  m2 m²,1,1,$290.000.000,3,¡Pregúntale!,,,"Espectacular local en Paipa a 1 cuadra de la vía principal, sector comercial aledaño al lago sochagota, para estrenar con un área construida de 50m2 y un baño .",,10271188,Inmobiliaria Fenix,https://www.fincaraiz.com.co/local-en-venta/10271188,,
Casa,venta,Usado,"Gaitan, Paipa, Boyaca","Gaitan, Libertadores","1,987.00  m2 m²",¡Pregúntale!,¡Pregúntale!,$400.000.000,6,¡Pregúntale!,,,"VEREDA LLANO GRANDE, SENTIDO PAIPA TUNJA A 1 KM. DE GLORIETA. LOTE EN EL ""CONJUNTO LA COLINA"". Conjunto de 15 lotes con linda vista. Semi urbano, para proyecto hotelero o casas. Se pueden construir  de 4 a 6 casas. Es el lote más grande de la Urbanización, represa termoeléctrica.",,191185436,MARIA INES ARANGO,https://www.fincaraiz.com.co/lote-en-venta/191185436,,
Lote,venta,Usado,"Mirabal, Paipa, Boyaca",Mirabal,"12,800.00  m2 m²",¡Pregúntale!,¡Pregúntale!,$640.000.000,1,¡Pregúntale!,,", Lote Vacio, , Vista panorámica, Descripción, Vereda Mirabal, Paipa-Boyacá","Vereda Mirabal, Paipa-Boyacá",,192112073,INMOBILIARIA LEGUIZAMO,https://www.fincaraiz.com.co/lote-en-venta/192112073,,
Apartamento,venta,Usado,"Los rosales, Paipa, Boyaca","Centro, Los rosales",94.00  m2 m²,3,2,$320.000.000,3,9 a 15 años,,,? ¡Amplio apartamento en el centro de Paipa! Ubicación inmejorable ?,,192139365,Remax Planet,https://www.fincaraiz.com.co/apartamento-en-venta/192139365,,
Casa,venta,Usado,"Paipa, Boyaca","Primero de mayo, Villa panorama",111.00  m2 m²,3,3,$270.000.000,4,9 a 15 años,,", Baño Auxiliar, , Cocina Integral, , Colegios / Universidades, , Depósito / Bodega, , Garaje(s), , Patio, , Piso en Baldosa /  Mármol, , Vista panorámica, , Zona Residencial, Descripción, VENDO espectacular casa ubicada en la ciudad de Paipa en la Urbanización Estación de Alejandría con excelente iluminación de dos pisos., consta: sala, comedor, cocina integral, patio de ropas, garaje, baño., segundo piso: tres alcobas con closet, baño general, y privado., Código Fincaraíz:, 10227245, Consultar, Inmobiliaria Eskala, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros",VENDO espectacular casa ubicada en la ciudad de Paipa en la Urbanización Estación de Alejandría con excelente iluminación de dos pisos.,,10227245,Inmobiliaria Eskala,https://www.fincaraiz.com.co/casa-en-venta/10227245,,
Casa,venta,Usado,"Paipa, Boyaca",La esperanza,"2,223.00  m2 m²",¡Pregúntale!,¡Pregúntale!,$220.000.000,2,¡Pregúntale!,,,"? Ubicación privilegiada: Sobre la vía a Loma Tibia, en un entorno exclusivo y natural, rodeado de casas quintas y segundas residencias, con una impresionante vista a las montañas, rodeado de naturaleza.",,192200299,Remax Planet,https://www.fincaraiz.com.co/lote-en-venta/192200299,,
Lote,venta,Usado,"Centro, Paipa, Boyaca","Centro, Fatima, Los rosales","1,195.00  m2 m²",¡Pregúntale!,¡Pregúntale!,$710.000.000,3,1 a 8 años,,", Cerca de Zona Urbana, , Lote Vacio, , Área Urbana, Descripción, Codigo: 18058. Venta de lote 'Predio 3' en Paipa, Boyacá, con un área de 1.195 m² ubicado en el Barrio Sausalito, a tan solo 4 minutos del Parque Principal. El lote tiene un valor de $600.000 por metro cuadrado y es ideal para desarrollar un edificio de hasta 8 pisos. Zona urbana con concepto de uso de suelo aprobado, lo que garantiza el potencial para proyectos residenciales o comerciales., Código Fincaraíz:, 191652623, Consultar, CIMA GROUP SAS, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Codigo: 18058. Venta de lote 'Predio 3' en Paipa, Boyacá, con un área de 1.195 m² ubicado en el Barrio Sausalito, a tan solo 4 minutos del Parque Principal. El lote tiene un valor de $600.000 por metro cuadrado y es ideal para desarrollar un edificio de hasta 8 pisos. Zona urbana con concepto de uso de suelo aprobado, lo que garantiza el potencial para proyectos residenciales o comerciales.",,191652623,CIMA GROUP SAS,https://www.fincaraiz.com.co/lote-en-venta/191652623,,
Casa,venta,Usado,"Centro, Paipa, Boyaca",Centro,150.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$200.000.000,2,1 a 8 años,,,"? Ubicación: Barrio Centro, Paipa, Boyacá. Frente a un colegio público, rodeado de zonas comerciales y a solo una cuadra del transporte público.",,192124620,Remax Planet,https://www.fincaraiz.com.co/lote-en-venta/192124620,,
Casa,venta,Usado,"Llano grande, Paipa, Boyaca","Llano grande, La pradera",135.00  m2 m²,3,2,$683.000.000,2,1 a 8 años,,", Balcón, , Barra estilo americano, , Baño Independiente, , Chimenea, , Closet, , Cocina Integral, , Cocina tipo Americano, , Depósito / Bodega, , Hall de Alcobas, , Instalación de gas, , Vista panorámica, , Zona de lavandería, Descripción, Descubre esta exclusiva propiedad campestre ubicada en  Paipa, Boyacá, rodeada de impresionantes residencias de alto valor y un entorno natural inigualable.","Descubre esta exclusiva propiedad campestre ubicada en  Paipa, Boyacá, rodeada de impresionantes residencias de alto valor y un entorno natural inigualable.",,192176316,Remax Planet,https://www.fincaraiz.com.co/casa-campestre-en-venta/192176316,,
