tipo_inmueble,finalidad,estado_inmueble,ubicacion_principal,ubicacion_asociada,area,habitaciones,baños,precio,estrato,antigüedad,administración,comodidades,descripcion,contacto,codigo,vendedor,link_venta,link_image,error
Casa,venta,Usado,"Tunja, Boyaca","Tunja, Ub. colinas del norte, San rafael",118.00  m2 m²,3,3,$390.324.000,3,menor a 1 año,,,"Atos Inmobiliaria vende una casa medianera para estrenar en el norte de la ciudad de Tunja, ubicada en el barrio Colinas del Norte. Esta propiedad está cerca de la vía nacional de Tunja a Bucaramanga, el barrio San Rafael, el Colegio Normal Femenina y la UPTC.",Código Fincaraíz:,191718133,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191718133,,
Casa,venta,Usado,"Tunja, Tunja, Boyaca","Tunja, Ub. las quintas, 15 de mayo",220.00  m2 m²,5,4,$850.000.000,5,16 a 30 años,,", Chimenea, , Colegios / Universidades, , Estudio, , Garaje(s), , Parques cercanos, , Supermercados / C.Comerciales, , Terraza, , Trans. Público cercano, Descripción, Hermosa y cómoda casa ubicada en remansos de santa Inés, te encantara su espectacular distribución e iluminación, consta de, 1 piso: garaje eléctrico,   sala, comedor independientes, cocina integral, patio con marquesina, estar tv y baño. 2 piso: 3 alcobas con closet, 2 baños y estudio. 3 piso: 2 alcobas con closet principal con baño privado, terraza y sala de tv., Código Fincaraíz:, 10752529, Consultar, Inmobiliaria Fenix, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Hermosa y cómoda casa ubicada en remansos de santa Inés, te encantara su espectacular distribución e iluminación, consta de, 1 piso: garaje eléctrico,   sala, comedor independientes, cocina integral, patio con marquesina, estar tv y baño. 2 piso: 3 alcobas con closet, 2 baños y estudio. 3 piso: 2 alcobas con closet principal con baño privado, terraza y sala de tv.",,10752529,Inmobiliaria Fenix,https://www.fincaraiz.com.co/casa-en-venta/10752529,,
Casa,venta,Usado,"Tunja, Boyaca","Tunja, Pozo donato, Mesopotamia",127.00  m2 m²,3,3,$410.000.000,5,más de 30 años,,,"En venta: Amplia casa en el reconocido Barrio Mesopotamia, con un área total de 127 m2. Esta vivienda es un verdadero hallazgo, con 3 habitaciones espaciosas, además de cuarto y baño de servicio, garantizando comodidad para todos. Cuenta con 3 baños, una cocina integral para tus necesidades culinarias, y un acogedor espacio que combina sala y comedor. El garaje te proporciona la conveniencia de estacionar tu vehículo.",,191273729,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191273729,,
Apartamento,venta,Usado,"Tunja, Boyaca","Mesopotamia, Maldonado, Tunja",91.15  m2 m²,3,2,$350.000.000,5,1 a 8 años,3 Habs.,", Cocina Integral, , Colegios / Universidades, , Garaje(s), , Supermercados / C.Comerciales, Descripción, Vendo apartamento de estrato 5, frente al Centro comercial Unicentro, cerca la Universidad Santo Tomás y con fácil acceso a transporte.","Vendo apartamento de estrato 5, frente al Centro comercial Unicentro, cerca la Universidad Santo Tomás y con fácil acceso a transporte.",Código Fincaraíz:,191961234,Inmobiliaria Fenix,https://www.fincaraiz.com.co/apartamento-en-venta/191961234,,
Casa,venta,Usado,"Tunja, Boyaca","Tunja, El paraiso",127.00  m2 m²,5,3,$250.000.000,3,más de 30 años,,", Cocina Integral, , Trans. Público cercano, , Zona Comercial, Descripción, Te presentamos esta amplia casa con un apartamento independiente que consta de una sala, un baño y tres habitaciones, además de una cocina común y un patio de ropas compartido. En el segundo piso, encontrarás una cómoda sala, un baño con ducha y dos habitaciones con closets empotrados. También hay una cocina común con comedor, un patio de ropas con lavadero, un baño y un cuarto de plancha.","Te presentamos esta amplia casa con un apartamento independiente que consta de una sala, un baño y tres habitaciones, además de una cocina común y un patio de ropas compartido. En el segundo piso, encontrarás una cómoda sala, un baño con ducha y dos habitaciones con closets empotrados. También hay una cocina común con comedor, un patio de ropas con lavadero, un baño y un cuarto de plancha.",Código Fincaraíz:,191273715,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191273715,,
Casa,venta,Usado,"Tunja, Boyaca","Tunja, Centro historico",375.00  m2 m²,4,5,$1.150.000.000,5,9 a 15 años,,", Balcón, , Calentador, , Canchas Deportivas, , Cerca centro comercial, , Chimenea, , Closet, , Piso en Madera, , Sobre vía principal, , Terraza, , Trans. Público cercano, , Vista panorámica, , Zona Comercial",Atos Inmobiliaria vende exclusiva propiedad en el condominio Santa Helena,,191273710,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191273710,,
Apartamento,venta,Usado,"Los cristales, Tunja, Boyaca","Los cristales, Tunja, Jose joaquin camacho",52.00  m2 m²,2,1,$180.000.000,4,1 a 8 años,,", Colegios / Universidades, , Supermercados / C.Comerciales, , Trans. Público cercano, Descripción, VENDO APARTAMENTO EN LOS CRISTALES - SECTOR UPTC// facil acceso, cerca a avenida norte, cerca al campus de la santo Tomás.","VENDO APARTAMENTO EN LOS CRISTALES - SECTOR UPTC// facil acceso, cerca a avenida norte, cerca al campus de la santo Tomás.",,191900669,ELITE LG INMOBILIARIA,https://www.fincaraiz.com.co/apartamento-en-venta/191900669,,
Apartamento,venta,Usado,"Mesopotamia, Tunja, Boyaca","Tunja, Mesopotamia",96.00  m2 m²,3,2,$290.000.000,4,16 a 30 años,3 Habs.,,"¡No pierdas la oportunidad de adquirir este encantador apartamento semidúplex en el barrio Mesopotamia! Ubicado en un tercer piso, este apartamento ofrece un área de 96 m², distribuidos en una amplia sala comedor, una cocina integral, una zona de ropas, tres habitaciones, dos baños y un estudio espacioso. Además, cuenta con un garaje para tu comodidad.Una de las características destacadas de este apartamento es su excelente entrada de luz solar tanto en la mañana como en la tarde, lo que brinda un ambiente luminoso y acogedor. También cuenta con un depósito dentro del apartamento, proporcionando un espacio adicional para el almacenamiento.",,191273703,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/apartamento-en-venta/191273703,,
Apartamento,venta,Usado,"Tunja, Boyaca","Tunja, Asis, Villa luz",48.00  m2 m²,2,2,$250.000.000,2,menor a 1 año,2 Habs.,", Baño Auxiliar, , Calentador, , Citófono, , Cocina Integral, , Cocina tipo Americano, , Colegios / Universidades, , Parques cercanos, , Portería / Recepción, , Sobre vía principal, , Supermercados / C.Comerciales, , Terraza, , Trans. Público cercano","Edificio Park Place se encuentra ubicado en el barrio el Asis en la K7 # 61-5 en Tunja, Boyacá",,192272292,ACE GESTOR INMOBILIARIO Y MERCANTIL,https://www.fincaraiz.com.co/apartamento-en-venta-en-tunja/192272292,,
Casa,venta,Usado,"San rafael, Tunja, Boyaca","Tunja, Ub. colinas del norte, San rafael",1.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$85.000.000,3,menor a 1 año,,", Lote Vacio, , Servicios Públicos, , Sobre vía principal, , Vista panorámica, , Área Urbana, Descripción, Venta de lote ubicado en la urbanización colinas del Norte, área 99.77m2 tiene 6m frente y 16.15m de fondo terreno firme",Venta de lote ubicado en la urbanización colinas del Norte,,191098863,EDI ELISANETH CRUZ CANO,https://www.fincaraiz.com.co/lote-en-venta/191098863,,
